,H_TDH_I_L3_N
2022-06-27T22:38:00Z,0.33661940946302926
2022-06-27T22:39:00Z,0.32097671385264415
2022-06-27T22:40:00Z,0.31728362525713444
2022-06-27T22:41:00Z,0.3098437968608692
2022-06-27T22:42:00Z,0.3006593883587715
2022-06-27T22:43:00Z,0.3133838279152451
2022-06-27T22:44:00Z,0.2981793663141312
2022-06-27T22:45:00Z,0.30262487288972556
2022-06-27T22:46:00Z,0.3599714200016093
2022-06-27T22:47:00Z,0.3161467236640923
2022-06-27T22:48:00Z,0.34862720903635164
2022-06-27T22:49:00Z,0.31933758781887295
2022-06-27T22:50:00Z,0.299070662339024
2022-06-27T22:51:00Z,0.36670430187501357
2022-06-27T22:52:00Z,0.2978964926099244
2022-06-27T22:53:00Z,0.4067455624187652
2022-06-27T22:54:00Z,0.4497094448115841
2022-06-27T22:55:00Z,0.4623448766938892
2022-06-27T22:56:00Z,0.43579767140053016
2022-06-27T22:57:00Z,0.3909814498252766
2022-06-27T22:58:00Z,0.3007203525191608
2022-06-27T22:59:00Z,0.3401446557597719
2022-06-27T23:00:00Z,0.3345664350841427
2022-06-27T23:01:00Z,0.31126715226652535
2022-06-27T23:02:00Z,0.31012956103365946
2022-06-27T23:03:00Z,0.31287538681759747
2022-06-27T23:04:00Z,0.31913152895675684
2022-06-27T23:05:00Z,0.30322719879437265
2022-06-27T23:06:00Z,0.31780738739309916
2022-06-27T23:07:00Z,0.32331001250984553
2022-06-27T23:08:00Z,0.30258951367669973
2022-06-27T23:09:00Z,0.2900187038044073
2022-06-27T23:10:00Z,0.29962665548177514
2022-06-27T23:11:00Z,0.2981330335522353
2022-06-27T23:12:00Z,0.2942557129514699
2022-06-27T23:13:00Z,0.2884275392182442
2022-06-27T23:14:00Z,0.2830273338909521
2022-06-27T23:15:00Z,0.30609739146550513
2022-06-27T23:16:00Z,0.28945295639599383
2022-06-27T23:17:00Z,0.28934977197130773
2022-06-27T23:18:00Z,0.3122096581861453
2022-06-27T23:19:00Z,0.2918805492626993
2022-06-27T23:20:00Z,0.3007337646344466
2022-06-27T23:21:00Z,0.29641262494604664
2022-06-27T23:22:00Z,0.3010946724639519
2022-06-27T23:23:00Z,0.30266876708520596
2022-06-27T23:24:00Z,0.2825006035451877
2022-06-27T23:25:00Z,0.2927742838540078
2022-06-27T23:26:00Z,0.2893273702255917
2022-06-27T23:27:00Z,0.30376490268900713
2022-06-27T23:28:00Z,0.2915598777790512
2022-06-27T23:29:00Z,0.29867317601328525
2022-06-27T23:30:00Z,0.29179276087173855
2022-06-27T23:31:00Z,0.30731789395650083
2022-06-27T23:32:00Z,0.2994291316021137
2022-06-27T23:33:00Z,0.31061239718394335
2022-06-27T23:34:00Z,0.321566437522709
2022-06-27T23:35:00Z,0.2853012970734764
2022-06-27T23:36:00Z,0.3036978421125787
2022-06-27T23:37:00Z,0.3015445879676255
2022-06-27T23:38:00Z,0.3084536665974636
2022-06-27T23:39:00Z,0.2968040148557465
2022-06-27T23:40:00Z,0.29569812498628306
2022-06-27T23:41:00Z,0.28225796618683796
2022-06-27T23:42:00Z,0.3091443802017668
2022-06-27T23:43:00Z,0.3049110289043277
2022-06-27T23:44:00Z,0.31477381077212324
2022-06-27T23:45:00Z,0.312701029318884
2022-06-27T23:46:00Z,0.31142322051712235
2022-06-27T23:47:00Z,0.32880044479451426
2022-06-27T23:48:00Z,0.3393691916396188
2022-06-27T23:49:00Z,0.28070947651294736
2022-06-27T23:50:00Z,0.3596653799164546
2022-06-27T23:51:00Z,0.30996373851740033
2022-06-27T23:52:00Z,0.3268910472911185
2022-06-27T23:53:00Z,0.3745613628659983
2022-06-27T23:54:00Z,0.34960019703616635
2022-06-27T23:55:00Z,0.2870619420255218
2022-06-27T23:56:00Z,0.4098949709444809
2022-06-27T23:57:00Z,0.4583883026846175
2022-06-27T23:58:00Z,0.2573392479452907
2022-06-27T23:59:00Z,0.32115066194885333
2022-06-28T00:00:00Z,0.39994805853534793
2022-06-28T00:01:00Z,0.3493234197479983
2022-06-28T00:02:00Z,0.33479687961041454
2022-06-28T00:03:00Z,0.3582705199267454
2022-06-28T00:04:00Z,0.36795040931337275
2022-06-28T00:05:00Z,0.33629659795599354
2022-06-28T00:06:00Z,0.33379828666323635
2022-06-28T00:07:00Z,0.34702385161811067
2022-06-28T00:08:00Z,0.33848643059718037
2022-06-28T00:09:00Z,0.35190342301567745
2022-06-28T00:10:00Z,0.32769821277467387
2022-06-28T00:11:00Z,0.3510889418328752
2022-06-28T00:12:00Z,0.3348468702219337
2022-06-28T00:13:00Z,0.31030147996595747
2022-06-28T00:14:00Z,0.32776527335110217
2022-06-28T00:15:00Z,0.3117316991686925
2022-06-28T00:16:00Z,0.31983139751802697
2022-06-28T00:17:00Z,0.30521950755589794
2022-06-28T00:18:00Z,0.3219407574675001
2022-06-28T00:19:00Z,0.3051715215286354
2022-06-28T00:20:00Z,0.3030138242330098
2022-06-28T00:21:00Z,0.31571387812532753
2022-06-28T00:22:00Z,0.317033142556154
2022-06-28T00:23:00Z,0.32531817195307217
2022-06-28T00:24:00Z,0.30607300580134944
2022-06-28T00:25:00Z,0.33846570278264804
2022-06-28T00:26:00Z,0.326571595090678
2022-06-28T00:27:00Z,0.314487279218293
2022-06-28T00:28:00Z,0.3439585736337322
2022-06-28T00:29:00Z,0.29457150730228704
2022-06-28T00:30:00Z,0.33672944349475825
2022-06-28T00:31:00Z,0.3256278698878503
2022-06-28T00:32:00Z,0.30998934346476387
2022-06-28T00:33:00Z,0.2729999487901052
2022-06-28T00:34:00Z,0.3288894524686827
2022-06-28T00:35:00Z,0.3107733425673713
2022-06-28T00:36:00Z,0.30215910670435053
2022-06-28T00:37:00Z,0.30647171141029605
2022-06-28T00:38:00Z,0.2835235821565217
2022-06-28T00:39:00Z,0.2751424360443592
2022-06-28T00:40:00Z,0.30793607054284905
2022-06-28T00:41:00Z,0.30952723512901215
2022-06-28T00:42:00Z,0.3029955349848929
2022-06-28T00:43:00Z,0.31326921529371315
2022-06-28T00:44:00Z,0.30268461776690714
2022-06-28T00:45:00Z,0.3113915191537199
2022-06-28T00:46:00Z,0.33056596687939077
2022-06-28T00:47:00Z,0.2944008076531968
2022-06-28T00:48:00Z,0.32877971697998176
2022-06-28T00:49:00Z,0.3101722359459319
2022-06-28T00:50:00Z,0.3191266518239257
2022-06-28T00:51:00Z,0.3266862077122101
2022-06-28T00:52:00Z,0.32165422591366966
2022-06-28T00:53:00Z,0.3190571526810818
2022-06-28T00:54:00Z,0.32324660978304054
2022-06-28T00:55:00Z,0.342407645393426
2022-06-28T00:56:00Z,0.3184609231924734
2022-06-28T00:57:00Z,0.334633495660571
2022-06-28T00:58:00Z,0.33864371813098515
2022-06-28T00:59:00Z,0.2958867832304169
2022-06-28T01:00:00Z,0.3333715375405106
2022-06-28T01:01:00Z,0.31755377648587957
2022-06-28T01:02:00Z,0.3246914603842693
2022-06-28T01:03:00Z,0.32476705594315197
2022-06-28T01:04:00Z,0.33410066889876777
2022-06-28T01:05:00Z,0.2867632176396138
2022-06-28T01:06:00Z,0.35775842097947447
2022-06-28T01:07:00Z,0.32044225840512874
2022-06-28T01:08:00Z,0.31968874138271586
2022-06-28T01:09:00Z,0.3354126176303474
2022-06-28T01:10:00Z,0.3076629511043047
2022-06-28T01:11:00Z,0.3226503802944324
2022-06-28T01:12:00Z,0.3134874669879071
2022-06-28T01:13:00Z,0.34465356506217126
2022-06-28T01:14:00Z,0.2963809235826441
2022-06-28T01:15:00Z,0.31258275884772846
2022-06-28T01:16:00Z,0.2964138442292544
2022-06-28T01:17:00Z,0.3310488030296747
2022-06-28T01:18:00Z,0.3154870914486789
2022-06-28T01:19:00Z,0.29804801438076334
2022-06-28T01:20:00Z,0.2950815074833805
2022-06-28T01:21:00Z,0.2776644923609427
2022-06-28T01:22:00Z,0.3380304186774678
2022-06-28T01:23:00Z,0.33301062971100537
2022-06-28T01:24:00Z,0.3193058864554704
2022-06-28T01:25:00Z,0.34777127222448456
2022-06-28T01:26:00Z,0.32140549213928116
2022-06-28T01:27:00Z,0.33384705799154785
2022-06-28T01:28:00Z,0.3218615040589937
2022-06-28T01:29:00Z,0.3349505092945958
2022-06-28T01:30:00Z,0.338787593549504
2022-06-28T01:31:00Z,0.31530785681713414
2022-06-28T01:32:00Z,0.3236770167553896
2022-06-28T01:33:00Z,0.33099027743570103
2022-06-28T01:34:00Z,0.32507919244434574
2022-06-28T01:35:00Z,0.3271763595617408
2022-06-28T01:36:00Z,0.33214859648309936
2022-06-28T01:37:00Z,0.2959017452819834
2022-06-28T01:38:00Z,0.31974970554310506
2022-06-28T01:39:00Z,0.3199362558738969
2022-06-28T01:40:00Z,0.3009990930599514
2022-06-28T01:41:00Z,0.3139288475091263
2022-06-28T01:42:00Z,0.3063107660268678
2022-06-28T01:43:00Z,0.32356118485064994
2022-06-28T01:44:00Z,0.3033040136364633
2022-06-28T01:45:00Z,0.32771894058920614
2022-06-28T01:46:00Z,0.34951362792841323
2022-06-28T01:47:00Z,0.3103356198957757
2022-06-28T01:48:00Z,0.3239025841488305
2022-06-28T01:49:00Z,0.33279481658322707
2022-06-28T01:50:00Z,0.3230881029660283
2022-06-28T01:51:00Z,0.33543212616167195
2022-06-28T01:52:00Z,0.3386583495294786
2022-06-28T01:53:00Z,0.3096662334147
2022-06-28T01:54:00Z,0.32103117219449
2022-06-28T01:55:00Z,0.3325826613050718
2022-06-28T01:56:00Z,0.31609063663653403
2022-06-28T01:57:00Z,0.3276165207997522
2022-06-28T01:58:00Z,0.31374229717833474
2022-06-28T01:59:00Z,0.30596448959585626
2022-06-28T02:00:00Z,0.3245097871863088
2022-06-28T02:01:00Z,0.3155833734904601
2022-06-28T02:02:00Z,0.3458704097035434
2022-06-28T02:03:00Z,0.3182512064807341
2022-06-28T02:04:00Z,0.29229998268617824
2022-06-28T02:05:00Z,0.3665140936945987
2022-06-28T02:06:00Z,0.33416651019198823
2022-06-28T02:07:00Z,0.33978618649668235
2022-06-28T02:08:00Z,0.3383510901611159
2022-06-28T02:09:00Z,0.3054243471348062
2022-06-28T02:10:00Z,0.3368391789834591
2022-06-28T02:11:00Z,0.3117890054794586
2022-06-28T02:12:00Z,0.33065985168639045
2022-06-28T02:13:00Z,0.36364877815629737
2022-06-28T02:14:00Z,0.34518761110718216
2022-06-28T02:15:00Z,0.33381413734493753
2022-06-28T02:16:00Z,0.3415980413434549
2022-06-28T02:17:00Z,0.31170853278774463
2022-06-28T02:18:00Z,0.38096869612292317
2022-06-28T02:19:00Z,0.35062805278033143
2022-06-28T02:20:00Z,0.3591374302874824
2022-06-28T02:21:00Z,0.3731356074797526
2022-06-28T02:22:00Z,0.3749978662543862
2022-06-28T02:23:00Z,0.35364821728602164
2022-06-28T02:24:00Z,0.37416753438988276
