,U_L1_L2,U_L3_L1,U_L3_N,U_L2_L3,U_L2_N,U_L1_N
2022-06-27T22:38:00Z,0.7411254800777876,0.8274050310266006,0.7870751297218419,0.7846090542758546,0.7660989070602398,0.8062951247881642
2022-06-27T22:39:00Z,0.586370295434044,0.6848401781573266,0.6424899546962592,0.6360536344637566,0.6068934625900546,0.6633147731804812
2022-06-27T22:40:00Z,0.6391128046244603,0.7317562987576274,0.6860323215597148,0.6756126662540645,0.6516306104664302,0.7139708894696817
2022-06-27T22:41:00Z,0.6014150340767053,0.7066952078141426,0.6580515536358149,0.6418865800914446,0.611937926371791,0.6850858050949462
2022-06-27T22:42:00Z,0.5508470279808328,0.6560428647888301,0.6039681745479228,0.5921421251950569,0.5624528894105865,0.6374529099125645
2022-06-27T22:43:00Z,0.6236328326040734,0.7218905766262829,0.6696962141069278,0.6559744573199708,0.6328101481168531,0.7039966701266032
2022-06-27T22:44:00Z,0.6547332289893575,0.7561696073037538,0.7077467144273157,0.6947737653346628,0.6684362551427796,0.7351183266893031
2022-06-27T22:45:00Z,0.6486098348824108,0.7506570320138906,0.702772259820506,0.6927440606770894,0.6659579172627197,0.7290556663199439
2022-06-27T22:46:00Z,0.651218320201,0.7581633220335959,0.7101442384509404,0.6937025323209483,0.6651490153157482,0.733356113408604
2022-06-27T22:47:00Z,0.6385586057397532,0.7463572232878022,0.6985643605137462,0.684644035608386,0.6547881861226976,0.7217481396880778
2022-06-27T22:48:00Z,0.7011018251544989,0.8051396511287336,0.758910203285037,0.743035631637273,0.7157312030206668,0.7805640288179845
2022-06-27T22:49:00Z,0.684262491360375,0.7872789071895703,0.7371856998873696,0.7223533170476983,0.6968510873649016,0.76544779563039
2022-06-27T22:50:00Z,0.6972948465814284,0.7899525062051467,0.7384741651789746,0.7263845360204115,0.7064718573298876,0.7741456923736223
2022-06-27T22:51:00Z,0.695643141592047,0.7919829714369193,0.7443293428965099,0.7294196962259711,0.7070398097607331,0.7712194483020092
2022-06-27T22:52:00Z,0.6798512304741351,0.7864428332706055,0.7407412117047159,0.7244957830751595,0.6944932242428905,0.76135752076787
2022-06-27T22:53:00Z,0.6697597158439166,0.7743611057603133,0.7282316815950871,0.7122987615679968,0.6836332853378977,0.7502507269712098
2022-06-27T22:54:00Z,0.6184460760825559,0.7327595375727896,0.6911923818832939,0.6744955123204548,0.6379045093147653,0.7023152923175076
2022-06-27T22:55:00Z,0.6171770832248598,0.7301135014336602,0.6882566381809205,0.6724846012245145,0.6363039161005482,0.7011027602436428
2022-06-27T22:56:00Z,0.6275625453531788,0.7263518695494255,0.6871962320752338,0.6785654332887461,0.6481833689992982,0.7027918105720694
2022-06-27T22:57:00Z,0.608878272790438,0.7121608812396651,0.6711967053326013,0.6585397784844318,0.6273371519650439,0.6866493779230893
2022-06-27T22:58:00Z,0.5879902474979808,0.6879239252152196,0.6452969220026432,0.6372090860181387,0.607252288728688,0.6658584946297772
2022-06-27T22:59:00Z,0.5852709770886477,0.6888243125125726,0.6490155306923313,0.6377447025250049,0.605273060560588,0.6629645847468062
2022-06-27T23:00:00Z,0.5345716910123599,0.6508426687653817,0.6085511966610966,0.591888412112862,0.5536410213925684,0.6204612937840537
2022-06-27T23:01:00Z,0.47137383242500164,0.5919867399205998,0.5484989282600381,0.5337599259469883,0.492835689932388,0.5610957234473304
2022-06-27T23:02:00Z,0.469923554873354,0.5894142047853137,0.543540783340454,0.5288548063578311,0.48927307922980035,0.5605137080518645
2022-06-27T23:03:00Z,0.5138448076700897,0.6371439191700752,0.5923393675490232,0.5732076118384057,0.5320071969811835,0.6052803922191892
2022-06-27T23:04:00Z,0.49561562455564,0.616186945443097,0.5708921288343625,0.5533428171803756,0.5136261910373783,0.5858152106599803
2022-06-27T23:05:00Z,0.4908417942814687,0.6123097674892328,0.566504822968021,0.5499505793035766,0.5096849453808758,0.5821452802497333
2022-06-27T23:06:00Z,0.48598739303221095,0.6099209848636207,0.5619707299165526,0.5414089055362297,0.5016819793098399,0.5786531878769736
2022-06-27T23:07:00Z,0.4221751807597869,0.5478769499761782,0.4988848596896922,0.4800761171100163,0.43769267210096174,0.51838226025842
2022-06-27T23:08:00Z,0.3440616204086169,0.47485370263642324,0.42699175835566905,0.41157358491648566,0.36403096288793435,0.44417529733752303
2022-06-27T23:09:00Z,0.3394187179689716,0.47279567452820714,0.4233546981021554,0.406395958683472,0.3584030706186283,0.4415400609636464
2022-06-27T23:10:00Z,0.3621397329447724,0.49863127738671054,0.4473625577127862,0.42507675895792474,0.3770938687974308,0.46613021142174205
2022-06-27T23:11:00Z,0.3635497250088662,0.49825458474190754,0.4488141198767508,0.4286663292319801,0.3805015833825429,0.4657745353467426
2022-06-27T23:12:00Z,0.3534984958662051,0.49219075192305795,0.44072451500795395,0.41887488361529535,0.3692113774844614,0.45935619890238755
2022-06-27T23:13:00Z,0.3434875522110943,0.4776008026558749,0.4276930749068022,0.4099667353958907,0.36165588908621515,0.44637402216480737
2022-06-27T23:14:00Z,0.32846106535653874,0.4571123978285385,0.4058870230729461,0.3905435894364899,0.34639001617219733,0.4284447145658383
2022-06-27T23:15:00Z,0.3368505181379504,0.4648575661108012,0.41511830604823885,0.39873758231341583,0.35487488127547095,0.4349277193874741
2022-06-27T23:16:00Z,0.2285832703587971,0.3674871112408198,0.3042613619086403,0.30163124929724106,0.2581164398746445,0.3400430428334822
2022-06-27T23:17:00Z,0.2617054519749935,0.35104826913701004,0.28980932040573393,0.28080447911095874,0.284098732127152,0.32347889563948584
2022-06-27T23:18:00Z,0.2811860457216362,0.32959734374847116,0.27097329026101136,0.255652800734417,0.29671999449258024,0.30138752031847105
2022-06-27T23:19:00Z,0.36025638640199986,0.39097068197563445,0.3176026860672607,0.2875266812831683,0.3645644939593389,0.3593303863551931
2022-06-27T23:20:00Z,0.38084227053786535,0.3980267783466651,0.3673146127610245,0.3369161612844316,0.3750630085901676,0.37556214905074725
2022-06-27T23:21:00Z,0.31852062130463565,0.3966853850261245,0.36620555402900834,0.3551835032027135,0.3288179121753565,0.37874706663144053
2022-06-27T23:22:00Z,0.3081974651210402,0.3962627542539181,0.3703645242740592,0.3648715842303467,0.32179595484850765,0.38071945213827263
2022-06-27T23:23:00Z,0.35422363464202533,0.4352825996806722,0.42077776751894547,0.4112165072452463,0.3658208735790893,0.4177582652214511
2022-06-27T23:24:00Z,0.352390644958696,0.46354373566671114,0.4208430062678943,0.41285154710828564,0.37088081341754986,0.44176640028409864
2022-06-27T23:25:00Z,0.3653323578327665,0.48927827464491,0.4333525363775017,0.4245881263551645,0.3844772503984757,0.46645355330811
2022-06-27T23:26:00Z,0.36116280987178584,0.4819006113819668,0.4295360695644135,0.42357327402637424,0.38265291834786197,0.4596310395058012
2022-06-27T23:27:00Z,0.36724591849118937,0.4606128831376033,0.4380171069268677,0.43548839210887635,0.3859917902140637,0.44386812254548147
2022-06-27T23:28:00Z,0.34161427704022174,0.44948666867755094,0.41195422672455706,0.4065932910807355,0.36310158618290345,0.4273776863408294
2022-06-27T23:29:00Z,0.3901885036484778,0.48220380302291943,0.4575724219221975,0.4454207894378932,0.401808404879187,0.4625572835774072
2022-06-27T23:30:00Z,0.44010222271763055,0.4721249778679386,0.4982650915747442,0.4857799630690529,0.4350422274236756,0.46701940160925304
2022-06-27T23:31:00Z,0.44252942334225764,0.4881849472124209,0.5043159855391046,0.490234037178773,0.44366477796472736,0.4759113034843061
2022-06-27T23:32:00Z,0.428167647032204,0.4657855162846012,0.4757740328770055,0.46441168347947226,0.42590335649092737,0.4592430292421632
2022-06-27T23:33:00Z,0.4463263305434495,0.4649861928675598,0.511459628548252,0.4976293036857946,0.44060127697409257,0.4593238647137525
2022-06-27T23:34:00Z,0.47672173089669556,0.5063764456689697,0.5452043714384764,0.5204634810836417,0.4671057237470002,0.4936304388571422
2022-06-27T23:35:00Z,0.45828104897263344,0.47698523174851104,0.5176410000104994,0.4981085395077436,0.44681433235396995,0.47102884100018727
2022-06-27T23:36:00Z,0.46591514886254615,0.47489964076384084,0.5175920709487869,0.5052594897133886,0.4581045382520408,0.4724030440172342
2022-06-27T23:37:00Z,0.475503094898432,0.5023890162093032,0.5287642067051088,0.5176256532753598,0.4725098771799061,0.4968315235321583
2022-06-27T23:38:00Z,0.41296038758735065,0.46671891674469634,0.46776182991373716,0.459932604376732,0.41865707691481546,0.45633952871000716
2022-06-27T23:39:00Z,0.3961406844333517,0.454466361689402,0.4548976332155945,0.449085533958538,0.4059217573329086,0.44225141311364524
2022-06-27T23:40:00Z,0.4351269650057361,0.4830766274438112,0.4872886720652616,0.4760167077948445,0.4343538002347529,0.4753939564661174
2022-06-27T23:41:00Z,0.4443926271412444,0.49816270848707944,0.5036472883624619,0.4886459812198254,0.44679712167425123,0.4838816809832309
2022-06-27T23:42:00Z,0.46818120753700043,0.5114204520592054,0.5161078894103674,0.5048930152613345,0.4698594325026164,0.5014714796015163
2022-06-27T23:43:00Z,0.47589587840199243,0.5266535351101993,0.5270679992326173,0.5113110165628534,0.47548732477192956,0.5144213221504579
2022-06-27T23:44:00Z,0.4308264892102329,0.5077545894914373,0.49855866594497655,0.48514098197315647,0.4352143342208912,0.4938082768946508
2022-06-27T23:45:00Z,0.3870361642480198,0.4605210068827823,0.46014935250541456,0.4529194205339735,0.3934440145339728,0.4503349602727873
2022-06-27T23:46:00Z,0.4449969094544315,0.49412015327451186,0.5137756041356845,0.5146844608780157,0.45292412365552437,0.49051018965371185
2022-06-27T23:47:00Z,0.4665798594070587,0.4994397884292212,0.5326622219543822,0.5374716543717462,0.47528079661526235,0.4989655799821726
2022-06-27T23:48:00Z,0.4934099941125041,0.5319456073884794,0.5686087726213884,0.5652579352628706,0.5014238191140095,0.5241700800243905
2022-06-27T23:49:00Z,0.4815660607740604,0.5191839955924316,0.5533265956817424,0.5470469740295307,0.4827502316149115,0.5149386691686395
2022-06-27T23:50:00Z,0.5193236339762954,0.5459291733737679,0.5915728122489661,0.5750023969754423,0.5190475551500207,0.5326901387301071
2022-06-27T23:51:00Z,0.5114377497892235,0.5319272321375017,0.5773018359179076,0.5656432032765757,0.5120944405420502,0.5226665402527821
2022-06-27T23:52:00Z,0.5243895340351656,0.5477207603429726,0.5888001654189274,0.580527704098877,0.5251057144123941,0.5418730483028824
2022-06-27T23:53:00Z,0.5205221272307838,0.5479963891074568,0.5753446734496386,0.5605595448517882,0.5201834600117117,0.5365702413665048
2022-06-27T23:54:00Z,0.5441999225357854,0.5732347963095705,0.6004289724178236,0.5858462820442156,0.5436416164737068,0.5623890909927916
2022-06-27T23:55:00Z,0.548057257968285,0.5771119742634383,0.6055012851480619,0.5915407312224445,0.547514019411306,0.5669482115905495
2022-06-27T23:56:00Z,0.5762671706221951,0.6310708987257385,0.6423611783002556,0.623226676154772,0.5811608982691219,0.6110682119851276
2022-06-27T23:57:00Z,0.5743435385918758,0.5935945743801341,0.639392815223399,0.6177671464970835,0.5695609001360395,0.5799788896110805
