,C_phi_L3
2022-06-27T22:38:00Z,0.9581010664814411
2022-06-27T22:39:00Z,0.9627892329294898
2022-06-27T22:40:00Z,0.9633026584947593
2022-06-27T22:41:00Z,0.9641007988929511
2022-06-27T22:42:00Z,0.9701396540249072
2022-06-27T22:43:00Z,0.9694796950765912
2022-06-27T22:44:00Z,0.9625501261192706
2022-06-27T22:45:00Z,0.9632100850675875
2022-06-27T22:46:00Z,0.9559505366361074
2022-06-27T22:47:00Z,0.9628801055934282
2022-06-27T22:48:00Z,0.955950536636109
2022-06-27T22:49:00Z,0.9599102903260062
2022-06-27T22:50:00Z,0.9559505366361085
2022-06-27T22:51:00Z,0.9510008445237368
2022-06-27T22:52:00Z,0.9612302082226383
2022-06-27T22:53:00Z,0.9447312345147336
2022-06-27T22:54:00Z,0.9420913987214681
2022-06-27T22:55:00Z,0.9397815424023617
2022-06-27T22:56:00Z,0.9473151415835643
2022-06-27T22:57:00Z,0.9493509471529462
2022-06-27T22:58:00Z,0.9599102903260059
2022-06-27T22:59:00Z,0.9536406803170014
2022-06-27T23:00:00Z,0.9572704545327408
2022-06-27T23:01:00Z,0.9645300029642196
2022-06-27T23:02:00Z,0.9632100850675869
2022-06-27T23:03:00Z,0.9635400645417451
2022-06-27T23:04:00Z,0.9642000234900623
2022-06-27T23:05:00Z,0.962550126119271
2022-06-27T23:06:00Z,0.9609002287484802
2022-06-27T23:07:00Z,0.9674998182316423
2022-06-27T23:08:00Z,0.972119530869856
2022-06-27T23:09:00Z,0.9711295924473817
2022-06-27T23:10:00Z,0.9704696334990657
2022-06-27T23:11:00Z,0.9714595719215404
2022-06-27T23:12:00Z,0.972119530869856
2022-06-27T23:13:00Z,0.9704696334990657
2022-06-27T23:14:00Z,0.9704696334990657
2022-06-27T23:15:00Z,0.9684897566541171
2022-06-27T23:16:00Z,0.9704696334990657
2022-06-27T23:17:00Z,0.9617447524874281
2022-06-27T23:18:00Z,0.9483610087304717
2022-06-27T23:19:00Z,0.9457211729372079
2022-06-27T23:20:00Z,0.9424213781956261
2022-06-27T23:21:00Z,0.9605702492743211
2022-06-27T23:22:00Z,0.9635400645417451
2022-06-27T23:23:00Z,0.9635400645417456
2022-06-27T23:24:00Z,0.9704696334990672
2022-06-27T23:25:00Z,0.9661799003350109
2022-06-27T23:26:00Z,0.9668398592833283
2022-06-27T23:27:00Z,0.967499818231643
2022-06-27T23:28:00Z,0.9681597771799599
2022-06-27T23:29:00Z,0.968159777179959
2022-06-27T23:30:00Z,0.9618901671709548
2022-06-27T23:31:00Z,0.9625501261192713
2022-06-27T23:32:00Z,0.9609002287484805
2022-06-27T23:33:00Z,0.9632100850675867
2022-06-27T23:34:00Z,0.9562805161102668
2022-06-27T23:35:00Z,0.9668398592833263
2022-06-27T23:36:00Z,0.9582603929552156
2022-06-27T23:37:00Z,0.9612302082226378
2022-06-27T23:38:00Z,0.9630870418738329
2022-06-27T23:39:00Z,0.9648599824383779
2022-06-27T23:40:00Z,0.9618901671709545
2022-06-27T23:41:00Z,0.9674998182316421
2022-06-27T23:42:00Z,0.9628801055934286
2022-06-27T23:43:00Z,0.96123020822264
2022-06-27T23:44:00Z,0.9605702492743229
2022-06-27T23:45:00Z,0.9642000234900618
2022-06-27T23:46:00Z,0.9681597771799602
2022-06-27T23:47:00Z,0.9625501261192713
2022-06-27T23:48:00Z,0.9605702492743227
2022-06-27T23:49:00Z,0.9688197361282751
2022-06-27T23:50:00Z,0.9552905776877929
2022-06-27T23:51:00Z,0.9605702492743229
2022-06-27T23:52:00Z,0.9605702492743211
2022-06-27T23:53:00Z,0.946381131885524
2022-06-27T23:54:00Z,0.9486909882046304
2022-06-27T23:55:00Z,0.9655199413866944
2022-06-27T23:56:00Z,0.949020967678788
2022-06-27T23:57:00Z,0.9615601876967996
2022-06-27T23:58:00Z,0.9979865659203913
2022-06-27T23:59:00Z,0.9615601876967985
2022-06-28T00:00:00Z,0.9282322608068252
2022-06-28T00:01:00Z,0.9572704545327424
2022-06-28T00:02:00Z,0.9595803108518481
2022-06-28T00:03:00Z,0.9595803108518481
2022-06-28T00:04:00Z,0.9628801055934295
2022-06-28T00:05:00Z,0.9635400645417462
2022-06-28T00:06:00Z,0.9645300029642201
2022-06-28T00:07:00Z,0.957270454532742
2022-06-28T00:08:00Z,0.9569404750585839
2022-06-28T00:09:00Z,0.9510008445237368
2022-06-28T00:10:00Z,0.9526507418945276
2022-06-28T00:11:00Z,0.9503408855754207
2022-06-28T00:12:00Z,0.9519907829462113
2022-06-28T00:13:00Z,0.9625501261192713
2022-06-28T00:14:00Z,0.9546306187394757
2022-06-28T00:15:00Z,0.9605702492743222
2022-06-28T00:16:00Z,0.9605702492743222
2022-06-28T00:17:00Z,0.9605702492743222
2022-06-28T00:18:00Z,0.9566104955844246
2022-06-28T00:19:00Z,0.9607380354476229
2022-06-28T00:20:00Z,0.9605702492743222
2022-06-28T00:21:00Z,0.9579304134810567
2022-06-28T00:22:00Z,0.9582603929552149
2022-06-28T00:23:00Z,0.9579304134810582
2022-06-28T00:24:00Z,0.959580310851847
2022-06-28T00:25:00Z,0.9533107008428436
2022-06-28T00:26:00Z,0.9536406803170023
2022-06-28T00:27:00Z,0.9539706597911604
2022-06-28T00:28:00Z,0.9506708650495792
2022-06-28T00:29:00Z,0.9628801055934295
2022-06-28T00:30:00Z,0.9533107008428434
2022-06-28T00:31:00Z,0.9552905776877929
2022-06-28T00:32:00Z,0.959580310851847
2022-06-28T00:33:00Z,0.9701396540249072
2022-06-28T00:34:00Z,0.9533107008428436
2022-06-28T00:35:00Z,0.9572704545327415
2022-06-28T00:36:00Z,0.9595803108518475
2022-06-28T00:37:00Z,0.9599102903260062
2022-06-28T00:38:00Z,0.9651899619125353
2022-06-28T00:39:00Z,0.9704696334990657
2022-06-28T00:40:00Z,0.9612302082226396
2022-06-28T00:41:00Z,0.9599102903260055
2022-06-28T00:42:00Z,0.960570249274322
2022-06-28T00:43:00Z,0.9595803108518479
2022-06-28T00:44:00Z,0.9595803108518486
2022-06-28T00:45:00Z,0.9536406803170014
2022-06-28T00:46:00Z,0.9457211729372073
2022-06-28T00:47:00Z,0.9549605982136349
2022-06-28T00:48:00Z,0.9292221992293015
2022-06-28T00:49:00Z,0.9407714808248366
2022-06-28T00:50:00Z,0.9325219939708824
2022-06-28T00:51:00Z,0.9397815424023614
2022-06-28T00:52:00Z,0.9387916039798869
2022-06-28T00:53:00Z,0.9378016655574126
2022-06-28T00:54:00Z,0.9381316450315704
2022-06-28T00:55:00Z,0.9345018708158315
2022-06-28T00:56:00Z,0.9384616245057293
2022-06-28T00:57:00Z,0.9391215834540443
2022-06-28T00:58:00Z,0.9381316450315713
2022-06-28T00:59:00Z,0.9506708650495788
2022-06-28T01:00:00Z,0.9361517681866227
2022-06-28T01:01:00Z,0.9434113166181006
2022-06-28T01:02:00Z,0.9414314397731534
2022-06-28T01:03:00Z,0.9358217887124649
2022-06-28T01:04:00Z,0.9411014602989929
2022-06-28T01:05:00Z,0.9618901671709548
2022-06-28T01:06:00Z,0.9275723018585114
2022-06-28T01:07:00Z,0.9444012550405758
2022-06-28T01:08:00Z,0.9411014602989933
2022-06-28T01:09:00Z,0.9358217887124642
2022-06-28T01:10:00Z,0.9411014602989942
2022-06-28T01:11:00Z,0.937471686083255
2022-06-28T01:12:00Z,0.9394515629282036
2022-06-28T01:13:00Z,0.9325219939708824
2022-06-28T01:14:00Z,0.9503408855754196
2022-06-28T01:15:00Z,0.9480310292563154
2022-06-28T01:16:00Z,0.9523207624203689
2022-06-28T01:17:00Z,0.9364817476607796
2022-06-28T01:18:00Z,0.9529807213686856
2022-06-28T01:19:00Z,0.9624158971806298
2022-06-28T01:20:00Z,0.9613816742107757
2022-06-28T01:21:00Z,0.9667783376864498
2022-06-28T01:22:00Z,0.9338419118675148
2022-06-28T01:23:00Z,0.9335119323933583
2022-06-28T01:24:00Z,0.941431439773152
2022-06-28T01:25:00Z,0.9288922197551437
2022-06-28T01:26:00Z,0.9345018708158315
2022-06-28T01:27:00Z,0.9302121376517771
2022-06-28T01:28:00Z,0.9444012550405751
2022-06-28T01:29:00Z,0.9394515629282032
2022-06-28T01:30:00Z,0.9315320555484095
2022-06-28T01:31:00Z,0.9401115218765201
2022-06-28T01:32:00Z,0.9361517681866218
2022-06-28T01:33:00Z,0.9358217887124642
2022-06-28T01:34:00Z,0.936811727134939
2022-06-28T01:35:00Z,0.9351618297641484
2022-06-28T01:36:00Z,0.934171891341673
2022-06-28T01:37:00Z,0.9483610087304724
2022-06-28T01:38:00Z,0.9381316450315702
2022-06-28T01:39:00Z,0.9401115218765197
2022-06-28T01:40:00Z,0.9466439968903622
2022-06-28T01:41:00Z,0.944401255040574
2022-06-28T01:42:00Z,0.9470410908338394
2022-06-28T01:43:00Z,0.940111521876521
2022-06-28T01:44:00Z,0.9490209676787882
2022-06-28T01:45:00Z,0.9453911934630492
2022-06-28T01:46:00Z,0.9368117271349392
2022-06-28T01:47:00Z,0.9440712755664167
2022-06-28T01:48:00Z,0.941101460298994
2022-06-28T01:49:00Z,0.9397815424023614
2022-06-28T01:50:00Z,0.9417614192473105
2022-06-28T01:51:00Z,0.9338419118675156
2022-06-28T01:52:00Z,0.935821788712464
2022-06-28T01:53:00Z,0.940771480824836
2022-06-28T01:54:00Z,0.9384616245057289
2022-06-28T01:55:00Z,0.930212137651776
