,F
2022-06-27T22:38:00Z,0.7216475972544458
2022-06-27T22:39:00Z,0.34987321918794123
2022-06-27T22:40:00Z,0.6025080801503577
2022-06-27T22:41:00Z,0.6831302031303039
2022-06-27T22:42:00Z,0.6533333333333076
2022-06-27T22:43:00Z,0.6885714285716062
2022-06-27T22:44:00Z,0.6580952380951999
2022-06-27T22:45:00Z,0.6733333333334031
2022-06-27T22:46:00Z,0.6723809523808768
2022-06-27T22:47:00Z,0.6066666666670812
2022-06-27T22:48:00Z,0.6047619047620856
2022-06-27T22:49:00Z,0.6342857142859089
2022-06-27T22:50:00Z,0.6819047619051162
2022-06-27T22:51:00Z,0.6438095238097503
2022-06-27T22:52:00Z,0.701904761905098
2022-06-27T22:53:00Z,0.6933333333334986
2022-06-27T22:54:00Z,0.6228571428572423
2022-06-27T22:55:00Z,0.5780952380951021
2022-06-27T22:56:00Z,0.4993704600484534
2022-06-27T22:57:00Z,0.4819047619045591
2022-06-27T22:58:00Z,0.45999999999986585
2022-06-27T22:59:00Z,0.48380952380949793
2022-06-27T23:00:00Z,0.22095238095261038
2022-06-27T23:01:00Z,0.18952380952379144
2022-06-27T23:02:00Z,0.2609523809521761
2022-06-27T23:03:00Z,0.2990476190475988
2022-06-27T23:04:00Z,0.2790476190477875
2022-06-27T23:05:00Z,0.3190476190475806
2022-06-27T23:06:00Z,0.3714285714282255
2022-06-27T23:07:00Z,0.385714285714414
2022-06-27T23:08:00Z,0.4609523809521079
2022-06-27T23:09:00Z,0.487619047618864
2022-06-27T23:10:00Z,0.48857142857127656
2022-06-27T23:11:00Z,0.5447619047617991
2022-06-27T23:12:00Z,0.5914285714289917
2022-06-27T23:13:00Z,0.590476190476295
2022-06-27T23:14:00Z,0.6219047619048865
2022-06-27T23:15:00Z,0.5742857142859066
2022-06-27T23:16:00Z,0.5057142857141912
2022-06-27T23:17:00Z,0.5526392251820198
2022-06-27T23:18:00Z,0.590476190476636
2022-06-27T23:19:00Z,0.6047619047622561
2022-06-27T23:20:00Z,0.5809523809523398
2022-06-27T23:21:00Z,0.5466666666669084
2022-06-27T23:22:00Z,0.5819047619050366
2022-06-27T23:23:00Z,0.6276190476193619
2022-06-27T23:24:00Z,0.621904761904716
2022-06-27T23:25:00Z,0.614285714285927
2022-06-27T23:26:00Z,0.6200000000000045
2022-06-27T23:27:00Z,0.6752380952383987
2022-06-27T23:28:00Z,0.6685714285716244
2022-06-27T23:29:00Z,0.6514285714288803
2022-06-27T23:30:00Z,0.6057142857146687
2022-06-27T23:31:00Z,0.5961904761907135
2022-06-27T23:32:00Z,0.6580952380954272
2022-06-27T23:33:00Z,0.6800000000000068
2022-06-27T23:34:00Z,0.7171428571431875
2022-06-27T23:35:00Z,0.6952380952380963
2022-06-27T23:36:00Z,0.6695238095237528
2022-06-27T23:37:00Z,0.6590476190478967
2022-06-27T23:38:00Z,0.6378692493946687
2022-06-27T23:39:00Z,0.6276190476192482
2022-06-27T23:40:00Z,0.5942857142861158
2022-06-27T23:41:00Z,0.6066666666669107
2022-06-27T23:42:00Z,0.6114285714288599
2022-06-27T23:43:00Z,0.6361904761905066
2022-06-27T23:44:00Z,0.602857142857431
2022-06-27T23:45:00Z,0.5780952380953863
2022-06-27T23:46:00Z,0.6266666666666652
2022-06-27T23:47:00Z,0.6200000000002888
2022-06-27T23:48:00Z,0.6609523809523239
2022-06-27T23:49:00Z,0.6314285714285575
2022-06-27T23:50:00Z,0.6323809523811406
2022-06-27T23:51:00Z,0.5619047619052253
2022-06-27T23:52:00Z,0.5876190476194552
2022-06-27T23:53:00Z,0.6028571428572604
2022-06-27T23:54:00Z,0.5819047619052071
