,I_SUM
2022-06-27T22:38:00Z,0.5640163133416355
2022-06-27T22:39:00Z,0.6028956063015308
2022-06-27T22:40:00Z,0.6010203013931475
2022-06-27T22:41:00Z,0.6192586319021193
2022-06-27T22:42:00Z,0.6792546997171851
2022-06-27T22:43:00Z,0.708867077025454
2022-06-27T22:44:00Z,0.7293295624688071
2022-06-27T22:45:00Z,0.7366494759607384
2022-06-27T22:46:00Z,0.49775411745133924
2022-06-27T22:47:00Z,0.6481450673764768
2022-06-27T22:48:00Z,0.5276992181001497
2022-06-27T22:49:00Z,0.6579604059224753
2022-06-27T22:50:00Z,0.75960738645816
2022-06-27T22:51:00Z,0.5039094992513727
2022-06-27T22:52:00Z,0.7657627682581934
2022-06-27T22:53:00Z,0.47429712194310425
2022-06-27T22:54:00Z,0.34786225253701575
2022-06-27T22:55:00Z,0.32440525702878076
2022-06-27T22:56:00Z,0.3879159394217947
2022-06-27T22:57:00Z,0.453335551488937
2022-06-27T22:58:00Z,0.7235069040093164
2022-06-27T22:59:00Z,0.5679587423057728
2022-06-27T23:00:00Z,0.528198303110963
2022-06-27T23:01:00Z,0.6350024954250542
2022-06-27T23:02:00Z,0.6132091166195308
2022-06-27T23:03:00Z,0.6063882881384124
2022-06-27T23:04:00Z,0.5955747795707869
2022-06-27T23:05:00Z,0.6661121277657629
2022-06-27T23:06:00Z,0.6095491598735652
2022-06-27T23:07:00Z,0.6451505573115954
2022-06-27T23:08:00Z,0.7717517883879556
2022-06-27T23:09:00Z,0.8108467809016807
2022-06-27T23:10:00Z,0.7556147063716522
2022-06-27T23:11:00Z,0.7449675594742974
2022-06-27T23:12:00Z,0.7649309599068376
2022-06-27T23:13:00Z,0.741973049409416
2022-06-27T23:14:00Z,0.7225087339876891
2022-06-27T23:15:00Z,0.6181999667276661
2022-06-27T23:16:00Z,0.6950590583929465
2022-06-27T23:17:00Z,0.7362603588336637
2022-06-27T23:18:00Z,0.6098818832141076
2022-06-27T23:19:00Z,0.7373149226418235
2022-06-27T23:20:00Z,0.6459823656629515
2022-06-27T23:21:00Z,0.6829146564631509
2022-06-27T23:22:00Z,0.6671102977873898
2022-06-27T23:23:00Z,0.6433205789386123
2022-06-27T23:24:00Z,0.7168524371984696
2022-06-27T23:25:00Z,0.6624521710197971
2022-06-27T23:26:00Z,0.686408251538846
2022-06-27T23:27:00Z,0.6745965729495923
2022-06-27T23:28:00Z,0.7158542671768425
2022-06-27T23:29:00Z,0.7196805855930796
2022-06-27T23:30:00Z,0.7314922641823326
2022-06-27T23:31:00Z,0.659291299284645
2022-06-27T23:32:00Z,0.7062052903011146
2022-06-27T23:33:00Z,0.6799201463982697
2022-06-27T23:34:00Z,0.5864248877058724
2022-06-27T23:35:00Z,0.7541174513392118
2022-06-27T23:36:00Z,0.6518050241224422
2022-06-27T23:37:00Z,0.6576276825819332
2022-06-27T23:38:00Z,0.6328905481194081
2022-06-27T23:39:00Z,0.6592912992846448
2022-06-27T23:40:00Z,0.6817501247712529
2022-06-27T23:41:00Z,0.7587755781068043
2022-06-27T23:42:00Z,0.6401597072034604
2022-06-27T23:43:00Z,0.6701048078522711
2022-06-27T23:44:00Z,0.6018965230410916
2022-06-27T23:45:00Z,0.5942438862086176
2022-06-27T23:46:00Z,0.6429878555980701
2022-06-27T23:47:00Z,0.6459823656629508
2022-06-27T23:48:00Z,0.5578106804192313
2022-06-27T23:49:00Z,0.80086508068541
2022-06-27T23:50:00Z,0.4812843120944936
2022-06-27T23:51:00Z,0.6363333887872239
2022-06-27T23:52:00Z,0.5879221427383133
2022-06-27T23:53:00Z,0.3972716686075528
