,S_SUM,H_TDH_I_L1_N,C_phi_L1,P_L2,P_L1,P_L3,C_phi_L2,Q_SUM,P_SUM,Q_L2,Q_L3,Q_L1,I_L1,I_L2,I_L3,H_TDH_I_L2_N,S_L3,S_L2,S_L1
2022-06-27T22:38:00Z,0.8075470978064722,0.46035095930182424,0.9795005900954192,0.7793423738134808,0.7475139366810786,0.7919561568595183,0.9728235963098654,0.8247059398349997,0.7867214017092828,0.8398631591526934,0.7050433946645239,0.7523888144449382,0.762309353711136,0.8042132563727095,0.8031005560302816,0.46966593776582855,0.804869497635073,0.8111377712481252,0.7750934169031896
2022-06-27T22:39:00Z,0.8116415131029371,0.4389406771244976,0.9821165995797345,0.788119761751625,0.7571303610594421,0.8037535055713196,0.9748788031245721,0.8074391841106586,0.7969548408151134,0.8277527963441602,0.6915819567905825,0.7302201101578903,0.7703068369430387,0.8128849117934182,0.8136961373322551,0.45011583901986363,0.8103643352649181,0.8145454975230882,0.7783351005357179
2022-06-27T22:40:00Z,0.792990951026219,0.43134768478612784,0.9862622941077579,0.7679224415338222,0.7462844353983157,0.7903641829707915,0.9760571960249065,0.7706977564015733,0.7818942474986779,0.7882206454385488,0.6779995459012611,0.6805344864774739,0.7525044357520463,0.7885794821613981,0.796227129625827,0.449797223539955,0.7944187996979277,0.791596328599039,0.7619802183870189
2022-06-27T22:41:00Z,0.8033864540890548,0.42112655536433297,0.9887233493901331,0.7760488555236434,0.7584211442862925,0.8075271327420452,0.9748991798556526,0.7736839921785429,0.7945663347164662,0.8013224086431278,0.6892154975900939,0.6650788244069813,0.7619186028938515,0.7976400938242928,0.8116470755762014,0.44510269782463785,0.8088499996080014,0.7994084483606032,0.7705640554505414
2022-06-27T22:42:00Z,0.841403291637749,0.40784648345526664,0.9900656676208099,0.8175718896854781,0.7979198592353032,0.8501920253524202,0.9765572672471521,0.7865332963522886,0.8365252259025994,0.8177582425268137,0.6982812112123941,0.6756338338169207,0.7992028896018976,0.8375126043497584,0.8519238886437326,0.43163712246468433,0.847048415573982,0.8377189818634317,0.806631597745205
2022-06-27T22:43:00Z,0.8540175765935445,0.4302236538943782,0.9898972891059085,0.8171333471834182,0.7986161557765399,0.8557860841002117,0.9745478901540512,0.8110017353092557,0.8384804874434254,0.8530773393597948,0.7212521511713851,0.6861830395504063,0.8070566361051438,0.8480697621550294,0.8637825124869692,0.45892733133016284,0.8612400664495736,0.850674455892268,0.816883282697925
2022-06-27T22:44:00Z,0.9299223548725322,0.40327040595647434,0.9872032328674843,0.9057489699089847,0.8839823549571499,0.9360120085069956,0.9763898191560604,0.903924224622881,0.9247916915593325,0.9221546792245732,0.8028084547824709,0.7925795155625839,0.881957553411076,0.9223207687207764,0.9343578723866899,0.4250218830141741,0.9330954976665403,0.9264747895936349,0.8938682671629753
2022-06-27T22:45:00Z,0.9302295982743471,0.4100815076988842,0.9866980973227805,0.9066941027634763,0.8817930228435704,0.9338464031463681,0.9755525787006021,0.9115469241220362,0.9236329577196158,0.9292645498459855,0.8032358231889948,0.8063365599457916,0.8820120134171051,0.9242693437658668,0.9338230591636122,0.429807992546978,0.9323601719348579,0.9283295051194224,0.8936664098555069
2022-06-27T22:46:00Z,0.7494327625145295,0.4950847979642429,0.9794578211820157,0.7058693675484043,0.6802980443672402,0.7304323213263254,0.9688546550569319,0.7803864128182856,0.7180553057308523,0.8173230422302882,0.6731891229290335,0.6847884305626379,0.7058699449033491,0.7475502213533726,0.7540698566796489,0.5127757558384564,0.7530774231866877,0.7507551166353722,0.7153092579435169
2022-06-27T22:47:00Z,0.8553817013816165,0.4360081255248854,0.9829937699949471,0.8245861448507079,0.7948569876440573,0.8539661835655902,0.9740455458807761,0.8579887518469558,0.8390994771209478,0.9023617293399749,0.7396212540800395,0.7498909598691333,0.8058209308979233,0.8531558598641861,0.8614617908328693,0.4535730312538925,0.860015408524259,0.856577247112644,0.8162793154730603
2022-06-27T22:48:00Z,0.7740690878786698,0.4799445283139535,0.9816467418757356,0.7345718465960223,0.7088581683563658,0.7593420990686025,0.9703616878767581,0.7970369498268038,0.7473004183150717,0.8311365092097852,0.6898588441178178,0.7004250886772325,0.7283811034517677,0.770231318036755,0.7767758357156105,0.49725203942867013,0.7773492025174995,0.775125041466903,0.7395983984533837
2022-06-27T22:49:00Z,0.8642371075058671,0.439141871866464,0.9834989055396518,0.8314403402642396,0.8046031159662923,0.860567922774321,0.9743804420629594,0.8662713848905385,0.846995702517208,0.9030734549391344,0.7532502651543692,0.7579728347103803,0.8145498727093241,0.8593920921121524,0.8682041147841876,0.45797522825732717,0.8681349296252195,0.864258165319531,0.8266533472439603
2022-06-27T22:50:00Z,1.0,0.39991786959104775,0.9843407981141594,0.9725142094198782,0.9541753571323913,1.0,0.9757200267916936,1.0,0.9930351550148045,0.995838833106462,0.8989113533021024,0.8884952852694162,0.951265965027472,0.9890444140452658,1.0,0.42411414316695434,1.0,0.995055351512764,0.9657616405336202
2022-06-27T22:51:00Z,0.7668431319748235,0.50081541358888,0.9774372790031988,0.7205773768247503,0.6970279171849189,0.7412053183332789,0.9686872069658408,0.8130855054473276,0.7324208786159302,0.8345418907743829,0.7078707455215977,0.7227413297800006,0.7239268885924698,0.7630200061625664,0.7678662791069495,0.5193329818400843,0.7680395636455193,0.7676954313778103,0.7348832448543496
2022-06-27T22:52:00Z,0.9831933659714225,0.40242553986438406,0.9838356625694548,0.9608704862589088,0.9318036212255684,0.9872376103851371,0.9752176825184182,0.9817953335922801,0.9770925988808848,1.0,0.8585560148295294,0.8759832323154064,0.9304461348353049,0.9769489908995209,0.9845559691231297,0.4206077420653812,0.9846584148005644,0.9824170427722283,0.9441106097875019
2022-06-27T22:53:00Z,0.7230854286444546,0.558538953880746,0.9732278161306621,0.6646397520223812,0.6387544065699455,0.6832198380789642,0.9636637642330886,0.7867061519765436,0.6739735254717796,0.8141801727018315,0.6764361323969162,0.7016635430604256,0.6813514365552437,0.7219914120119355,0.7244408843524361,0.5730090722796386,0.7241950102024366,0.725783231475561,0.691115976997278
