,H_TDH_U_L2_N,H_TDH_U_L3_N,H_TDH_U_L1_N
2022-06-27T22:38:00Z,0.6094436680045796,0.6032378879445844,0.621539945376571
2022-06-27T22:39:00Z,0.5834336918557961,0.5757982276569847,0.6029674502849992
2022-06-27T22:40:00Z,0.47341857313931923,0.465908578891724,0.4903203783169062
2022-06-27T22:41:00Z,0.47550013678372327,0.46141230887513973,0.48596719915069253
2022-06-27T22:42:00Z,0.5196992899902544,0.4999658982403493,0.5314771329531475
2022-06-27T22:43:00Z,0.7468676040651545,0.7197858409493935,0.7712549852771257
2022-06-27T22:44:00Z,0.6946262007517754,0.6793752557631981,0.7102016474710205
2022-06-27T22:45:00Z,0.6978630098844492,0.6827513299686266,0.7161280703716127
2022-06-27T22:46:00Z,0.5834957538632886,0.5713067794298184,0.6014760147601478
2022-06-27T22:47:00Z,0.6601002366699147,0.6427158641385894,0.6769167691676908
2022-06-27T22:48:00Z,0.563796463873034,0.5571204474150869,0.5818330910581834
2022-06-27T22:49:00Z,0.6492412640957816,0.6396126040103677,0.6686421409668647
2022-06-27T22:50:00Z,0.8378114993735204,0.825535397626518,0.8567594766856755
2022-06-27T22:51:00Z,0.6093902269246829,0.6085800027281411,0.6298781169629876
2022-06-27T22:52:00Z,0.7935751078936377,0.7801800572909566,0.8190018263819004
2022-06-27T22:53:00Z,0.6865515801197273,0.6814895648615472,0.7134444071713443
2022-06-27T22:54:00Z,0.5992273423360712,0.5907106806711232,0.6253680718625366
2022-06-27T22:55:00Z,0.5641097034665181,0.5626108307188656,0.5910768198591078
2022-06-27T22:56:00Z,0.6392376538767388,0.6332147671023215,0.6666755111310739
2022-06-27T22:57:00Z,0.6535222052067384,0.6515482198881463,0.6826568265682657
2022-06-27T22:58:00Z,0.7909647779479327,0.7744168599099713,0.8147154198814709
2022-06-27T22:59:00Z,0.6206668522901295,0.6097394625562681,0.6411345931641129
2022-06-27T23:00:00Z,0.6559585131560628,0.6403628427226854,0.6775504118677552
2022-06-27T23:01:00Z,0.691633022414033,0.672998226708499,0.7124753065712474
2022-06-27T23:02:00Z,0.7104622024223863,0.6872527622425321,0.7311491296731142
2022-06-27T23:03:00Z,0.6776068495057774,0.656799890874369,0.6942487606694249
2022-06-27T23:04:00Z,0.632535152443269,0.6132860455599513,0.6494837675649486
2022-06-27T23:05:00Z,0.7473896700542944,0.7245600873005053,0.7658876588765889
2022-06-27T23:06:00Z,0.6349366559933172,0.6179920883917617,0.6529874389652986
2022-06-27T23:07:00Z,0.5148266740916052,0.4993179648069844,0.5297998434529801
2022-06-27T23:08:00Z,0.4985730196296809,0.4866662119765387,0.5173506280517345
2022-06-27T23:09:00Z,0.5454197410552695,0.5236666211976538,0.5611092474561107
2022-06-27T23:10:00Z,0.527704301823751,0.508627745191652,0.5460881881546086
2022-06-27T23:11:00Z,0.5079354030349434,0.4909630336925389,0.5227925006522797
2022-06-27T23:12:00Z,0.5394681887790616,0.5278611376347017,0.5578292146557832
2022-06-27T23:13:00Z,0.5284351942085479,0.51493657072705,0.5497036788549704
2022-06-27T23:14:00Z,0.5037936795210913,0.48294912017460134,0.5240970591524096
2022-06-27T23:15:00Z,0.4267715439231521,0.4062201609603052,0.4405307689440533
2022-06-27T23:16:00Z,0.4483502714743146,0.4294434592824993,0.4722874501472286
2022-06-27T23:17:00Z,0.4524265155251217,0.43311257742255427,0.4613070475851132
2022-06-27T23:18:00Z,0.4114924126409578,0.3953758013913521,0.4112341123411237
2022-06-27T23:19:00Z,0.4938744257274119,0.4601691447278683,0.47139289574713905
